breed,breed_size,sex,age,weight_lbs,spay_neuter_status,daily_activity_level,diet,food_brand,daily_walk_distance_miles,other_pets_in_household,medications,seizures,hours_of_sleep,play_time_hrs,owner_activity_level,annual_vet_visits,average_temperature_f,healthy
Yorkshire Terrier,Small,Female,3,53,Neutered,None,Hard food,Nutro,5,No,No,No,9,2,Low,1,72,Yes
Rottweiler,Large,Male,4,51,None,Very Active,Home cooked,Special,3,Yes,Yes,No,13,2,Moderate,4,62,Yes
Golden Retriever,Large,Female,7,60,Spayed,None,Wet food,Iams,3,Yes,No,No,10,2,Very Active,2,45,Yes
Siberian Husky,Medium,Female,6,29,Neutered,Very Active,Hard food,Pedigree,2,Yes,No,No,8,2,Active,0,51,Yes
Australian Shepherd,Medium,Male,10,56.4,Neutered,None,Wet food,Wellness,1,No,No,No,11,2,Active,1,59,Yes
Labrador Retriever,Large,Male,8,37,None,Very Active,Hard food,Hill's Science,2,No,Yes,No,13,2,Active,2,53,Yes
Labrador Retriever,Large,Male,9,51,Neutered,Low,Hard food,Wellness,0,Yes,Yes,No,12,2,Moderate,2,63,No
Golden Retriever,Large,Male,8.4,63,Spayed,Very Active,Hard food,Hill's Science,3,Yes,No,No,10,1,Very Active,2,62,Yes
Dachshund,Small,Male,6,71,None,Very Active,Home cooked,Special,3,No,No,No,13,2,Very Active,1,87,Yes
Poodle,Small,Female,1,59,Neutered,Very Active,Home cooked,Special,3,Yes,No,No,14,3,Moderate,3,54,Yes
Bulldog,Medium,Male,12,48,Neutered,None,Wet food,Wellness,0,Yes,Yes,No,13,2,Active,1,37,No
Boxer,Medium,Male,5,66,None,Active,Hard food,Pedigree,3,No,No,No,12,2,Very Active,4,73,Yes
German Shepherd,Large,Male,12,45,Neutered,Low,Home cooked,Special,3,No,No,Yes,11,1,Moderate,3,35,Yes
Boxer,Medium,Male,13,48,Neutered,None,Home cooked,Special,3,Yes,No,No,12,1,Low,1,55.6,Yes
Beagle,Small,Male,8,48,Spayed,None,Wet food,Iams,4,Yes,No,No,10,1,Low,2,55,Yes
Doberman,Large,Female,13,53,Spayed,Very Active,Special diet,Iams,3,Yes,Yes,Yes,12,0,Moderate,2,63,Yes
Chihuahua,Small,Male,2,79,Spayed,Low,Home cooked,Special,1,Yes,Yes,No,12,2,None,2,76,Yes
Siberian Husky,Medium,Female,6,51,Neutered,Moderate,Wet food,Wellness,3,Yes,Yes,No,10,1,Low,2,42,Yes
Poodle,Small,Male,5,48,Spayed,None,Wet food,Purina,1,Yes,No,No,9,0,Moderate,2,60,Yes
Dachshund,Small,Male,2,21,Neutered,Very Active,Home cooked,Special,2,No,Yes,No,14,2,Very Active,3,87,Yes
Labrador Retriever,Large,Female,6,65,Neutered,Very Active,Wet food,Nutro,2,No,Yes,No,8,0,Very Active,3,61,Yes
Bulldog,Medium,Female,8,53,None,Low,Wet food,Blue Buffalo,1,No,No,No,10,1,None,0,67.4,No
Chihuahua,Small,Female,11,51,Neutered,None,Special diet,Purina,4,Yes,Yes,No,9,0,Moderate,0,100,No
Labrador Retriever,Large,Male,12,48.4,None,None,Wet food,Nutro,1,Yes,No,No,11,3,Very Active,1,80,No
Dachshund,Small,Female,7,38,None,Low,Special diet,Blue Buffalo,3,Yes,Yes,No,13,2,None,1,59,Yes
Labrador Retriever,Large,Male,3,50,Neutered,None,Home cooked,Special,3,Yes,Yes,No,9,2,Active,2,54,Yes
Chihuahua,Small,Female,4,23,Spayed,Active,Wet food,Hill's Science,2,Yes,Yes,No,12,2,Active,2,64,Yes
Yorkshire Terrier,Small,Female,7,73,Spayed,Low,Hard food,Blue Buffalo,3,No,Yes,No,11,2,Very Active,2,79,Yes
Poodle,Small,Female,11,47,None,None,Hard food,Blue Buffalo,1,Yes,Yes,No,12,0,Moderate,3,45,No
Boxer,Medium,Male,5,52,Spayed,Low,Hard food,Blue Buffalo,0,Yes,No,No,10,2,Moderate,3,44,Yes
Dachshund,Small,Male,5,66,None,Very Active,Hard food,Royal Canin,5,Yes,No,No,11,3,None,1,54,Yes
Poodle,Small,Male,13,23,Spayed,Active,Wet food,Royal Canin,0,No,Yes,No,10,3,Active,0,79,No
Beagle,Small,Male,12,32,Spayed,Moderate,Special diet,Blue Buffalo,5,No,Yes,No,10,3,Active,0,91,No
Australian Shepherd,Medium,Male,2,44,None,Low,Wet food,Pedigree,3,No,No,No,10,1,Moderate,3,84,Yes
Doberman,Large,Female,5,53,None,Low,Home cooked,Special,2,No,No,No,13,0,Active,0,60,Yes
Beagle,Small,Male,7,33,Spayed,None,Wet food,Nutro,1,Yes,No,No,10,1,Active,1,63,Yes
Doberman,Large,Male,13,47,Neutered,Moderate,Home cooked,Special,2,Yes,Yes,No,11,3,Active,1,72,Yes
Bulldog,Medium,Female,12,53,None,Moderate,Hard food,Blue Buffalo,1,No,Yes,No,11,1,None,2,71,No
Yorkshire Terrier,Small,Female,9,27,None,Active,Wet food,Iams,3,No,Yes,No,9,2,None,3,83,Yes
Australian Shepherd,Medium,Female,4,64,Spayed,Active,Wet food,Purina,0,No,No,No,13,3,Very Active,3,94,Yes
Dachshund,Small,Female,9,35,Spayed,Active,Home cooked,Special,1,No,Yes,No,10,1,Active,1,30,Yes
Siberian Husky,Medium,Male,7,42,Spayed,None,Home cooked,Special,1,Yes,No,No,11,2,Moderate,0,94,Yes
Siberian Husky,Medium,Male,5,61,Neutered,Moderate,Home cooked,Special,3,Yes,No,No,9,2,Low,0,50,Yes
Dachshund,Small,Female,12,78,None,Active,Home cooked,Special,1,Yes,Yes,No,11,1,Moderate,3,67,Yes
Boxer,Medium,Male,2,32,Neutered,Active,Special diet,Nutro,1,No,No,Yes,11,1,Moderate,1,83,Yes
Yorkshire Terrier,Small,Female,13,39,Neutered,Moderate,Hard food,Blue Buffalo,4,No,No,No,12,1,Moderate,2,76,Yes
Australian Shepherd,Medium,Male,2,48,Neutered,Active,Wet food,Iams,3,Yes,Yes,No,12,3,Very Active,2,62,Yes
Beagle,Small,Female,1,61,None,None,Wet food,Wellness,4,Yes,Yes,No,14,3,None,0,42,No
Beagle,Small,Female,6,49,None,Active,Wet food,Pedigree,0,Yes,No,No,11,0,Very Active,2,78,Yes
German Shepherd,Large,Male,10,61,Neutered,Very Active,Home cooked,Special,2,No,No,No,9,2,Active,0,70,Yes
Yorkshire Terrier,Small,Male,10,49,Spayed,Moderate,Wet food,Blue Buffalo,6,No,No,No,12,2,Very Active,0,76,No
Poodle,Small,Female,10,65,None,Very Active,Hard food,Nutro,0,No,No,No,11,2,Very Active,1,44,Yes
Poodle,Small,Male,1,62,Neutered,Moderate,Home cooked,Special,2,Yes,No,No,12,2,Moderate,4,39,Yes
Labrador Retriever,Large,Male,10,81,None,Very Active,Special diet,Royal Canin,4,No,No,No,10,2,Active,0,62,No
Boxer,Medium,Female,11,37,Neutered,Low,Special diet,Nutro,7,Yes,Yes,No,9,2,None,2,73,Yes
Doberman,Large,Male,9,33,None,Active,Wet food,Hill's Science,3,Yes,Yes,No,12,0,Very Active,1,36,No
Australian Shepherd,Medium,Female,1,45,Neutered,Moderate,Special diet,Iams,0,Yes,No,No,12,0,Moderate,2,61,Yes
Boxer,Medium,Female,2,44,None,Very Active,Wet food,Hill's Science,4,Yes,Yes,No,11,3,Active,2,64.8,Yes
Bulldog,Medium,Female,2,45,Neutered,Active,Home cooked,Special,3,No,No,No,9,1,Active,0,55,Yes
Bulldog,Medium,Male,6,32,None,None,Home cooked,Special,4,No,No,No,10,1,None,1,56,Yes
Bulldog,Medium,Male,10,65,Spayed,Active,Wet food,Pedigree,1,Yes,Yes,No,9,2,Active,1,65,Yes
Boxer,Medium,Male,8,57,Spayed,None,Hard food,Purina,3,Yes,Yes,No,12,1,Very Active,0,53,No
Doberman,Large,Female,8,54,Spayed,None,Wet food,Pedigree,3,No,No,No,12,2,Active,2,90,Yes
Boxer,Medium,Male,2,64,Neutered,Low,Wet food,Pedigree,3,Yes,Yes,Yes,11,2,Low,2,59,No
Labrador Retriever,Large,Female,10,35,Spayed,None,Home cooked,Special,2,No,No,No,11,2,Moderate,4,70,Yes
Golden Retriever,Large,Male,1,50,None,None,Special diet,Iams,1,No,No,No,12,2,None,0,81,No
Chihuahua,Small,Female,6,51,Spayed,Very Active,Home cooked,Special,0,Yes,Yes,No,11,1,Active,1,76,Yes
Chihuahua,Small,Male,1,39,None,None,Special diet,Iams,3,Yes,No,No,12,1,Very Active,2,55,Yes
Dachshund,Small,Female,5,76,Spayed,Low,Wet food,Royal Canin,2,Yes,Yes,No,10,1,Very Active,3,66,Yes
Doberman,Large,Female,4,48,Spayed,Low,Wet food,Iams,5,No,No,No,11,2,Active,0,64,Yes
Great Dane,Large,Male,6,48,Neutered,Very Active,Home cooked,Special,2,Yes,No,No,10,0,Very Active,1,100,Yes
Great Dane,Large,Female,1,64,Neutered,Low,Special diet,Hill's Science,2,No,No,No,11,2,Active,1,44,Yes
Poodle,Small,Male,11,25,Spayed,None,Hard food,Purina,2,No,No,No,11,2,Low,1,68,Yes
Rottweiler,Large,Female,3,22,None,Active,Home cooked,Special,5,No,No,No,12,1,Moderate,0,83,Yes
Great Dane,Large,Female,9,55,Neutered,Active,Home cooked,Special,3,No,No,No,11,1,Moderate,1,43,Yes
Australian Shepherd,Medium,Male,2,58,None,Very Active,Home cooked,Special,2,No,Yes,No,11,1,None,0,82,Yes
Dachshund,Small,Female,3,61,Neutered,Moderate,Home cooked,Special,4,Yes,Yes,No,12,2,Very Active,1,61,Yes
Poodle,Small,Female,6,41,Neutered,Moderate,Wet food,Nutro,2,Yes,No,No,10,1,None,0,53,Yes
Golden Retriever,Large,Male,12,59,None,Moderate,Wet food,Pedigree,1,Yes,No,No,10,1,None,1,89,No
Siberian Husky,Medium,Male,9,69,Neutered,None,Wet food,Pedigree,2,Yes,No,No,14,1,None,2,59,Yes
Siberian Husky,Medium,Male,9,60,Neutered,Very Active,Wet food,Iams,4,No,No,No,12,1,Very Active,1,85,Yes
Doberman,Large,Female,9,60,Neutered,Active,Wet food,Pedigree,2,Yes,No,No,12,2,Low,3,67,Yes
Australian Shepherd,Medium,Female,11,44,Neutered,Active,Special diet,Royal Canin,3,Yes,No,No,12,1,Moderate,0,69,Yes
Australian Shepherd,Medium,Female,8,44,Neutered,Active,Hard food,Blue Buffalo,2,No,No,No,11,1,Active,1,57,Yes
Beagle,Small,Female,3,73,Neutered,Moderate,Special diet,Purina,0,Yes,Yes,No,14,2,Active,3,39,Yes
Doberman,Large,Male,1,64,None,Very Active,Special diet,Nutro,3,No,Yes,Yes,11,2,Low,0,78,No
Rottweiler,Large,Male,3,56,Neutered,Active,Wet food,Hill's Science,3,No,Yes,No,11,1,Very Active,1,58,Yes
Beagle,Small,Male,3,66,Neutered,Very Active,Home cooked,Special,2,No,Yes,No,11,1,Very Active,0,57,Yes
German Shepherd,Large,Female,13,48,None,Very Active,Wet food,Royal Canin,5,No,Yes,No,10,2,Active,1,38,No
Bulldog,Medium,Male,12,55,Spayed,Very Active,Special diet,Pedigree,2,Yes,Yes,No,11,1,Low,2,52,Yes
German Shepherd,Large,Female,7,63,None,Active,Wet food,Royal Canin,2,No,No,No,12,0,Active,1,68,Yes
Labrador Retriever,Large,Female,5,48,Spayed,None,Special diet,Wellness,3,Yes,Yes,No,10,1,Active,1,60,Yes
Labrador Retriever,Large,Male,8,75,Spayed,Active,Wet food,Blue Buffalo,3,Yes,No,No,11,1,Very Active,3,67,Yes
Chihuahua,Small,Female,12,40,None,Moderate,Wet food,Wellness,4,No,Yes,No,9,2,Active,2,67,No
Great Dane,Large,Male,6,44,None,None,Home cooked,Special,3,No,No,No,9,2,Moderate,1,57,Yes
Chihuahua,Small,Male,3,62,Spayed,None,Home cooked,Special,4,Yes,Yes,No,9,2,Active,0,76,Yes
Siberian Husky,Medium,Male,4,46,Spayed,Moderate,Wet food,Nutro,1,No,Yes,No,11,1,None,2,100,Yes
Golden Retriever,Large,Male,2,34,Spayed,Active,Wet food,Iams,3,No,Yes,No,11,2,Active,1,74.4,Yes
Doberman,Large,Female,8,32,Spayed,Active,Home cooked,Special,1,Yes,Yes,No,12,2,Moderate,2,59,Yes
Siberian Husky,Medium,Female,8,47,Neutered,None,Home cooked,Special,0,No,Yes,No,10,2,Moderate,1,52,Yes
Doberman,Large,Male,13,42,None,None,Home cooked,Special,2,Yes,Yes,No,13,2,None,0,85,No
Siberian Husky,Medium,Male,10,43,Neutered,Active,Hard food,Purina,3,No,No,No,8,3,None,2,35,Yes
Yorkshire Terrier,Small,Female,12,77,Neutered,None,Special diet,Blue Buffalo,1,No,Yes,No,11,3,Low,1,69,Yes
Siberian Husky,Medium,Male,10,43,None,Low,Wet food,Purina,0,No,Yes,No,10,2,Active,1,75,No
Bulldog,Medium,Male,7,43,Spayed,Moderate,Special diet,Purina,6,No,No,No,11,1,Low,2,58,Yes
Dachshund,Small,Female,9,43,Neutered,Very Active,Hard food,Royal Canin,1,No,Yes,No,11,1,Low,1,88,Yes
Boxer,Medium,Male,2,52,Spayed,Very Active,Hard food,Pedigree,2,No,Yes,No,8,2,Active,0,57,Yes
Yorkshire Terrier,Small,Female,9,36,Spayed,Moderate,Special diet,Royal Canin,2,Yes,Yes,No,11,0,Very Active,2,55,Yes
Siberian Husky,Medium,Female,13,33,None,Very Active,Wet food,Blue Buffalo,2,No,Yes,No,10,3,Active,0,82,No
Boxer,Medium,Female,3,89,Spayed,Low,Wet food,Nutro,0,No,Yes,No,9,2,Low,3,63,No
Yorkshire Terrier,Small,Female,2,58,None,Active,Wet food,Hill's Science,3,No,Yes,No,10,2,Low,3,76,Yes
Yorkshire Terrier,Small,Female,4,31,Neutered,None,Special diet,Iams,0,No,No,No,13,2,None,0,55,Yes
Dachshund,Small,Female,2,64,Spayed,None,Wet food,Wellness,0,Yes,Yes,No,11,3,None,0,56,No
Labrador Retriever,Large,Male,6,55,Neutered,Low,Wet food,Hill's Science,3,No,Yes,No,13,0,Low,1,56,Yes
Australian Shepherd,Medium,Female,6.8,55.8,None,Active,Special diet,Iams,3,Yes,Yes,No,10,2,Low,1,67,Yes
Bulldog,Medium,Female,8.6,64,None,Moderate,Hard food,Blue Buffalo,1,No,Yes,No,9,1,Active,2,46,No
Doberman,Large,Female,11,39,None,Active,Home cooked,Special,2,No,No,No,13,0,None,1,62,Yes
Doberman,Large,Male,2,49,Spayed,Very Active,Home cooked,Special,3,No,No,Yes,11,2,Very Active,3,59,Yes
Golden Retriever,Large,Female,9,44,Neutered,None,Wet food,Purina,4,No,No,No,10,3,Moderate,3,64,Yes
German Shepherd,Large,Male,6,56,Neutered,Very Active,Hard food,Royal Canin,2,Yes,Yes,No,12,3,Low,2,75,Yes
Dachshund,Small,Male,7,53,Spayed,Moderate,Hard food,Purina,3,No,Yes,No,10,1,Active,1,76,Yes
Rottweiler,Large,Female,8,48,Neutered,Low,Special diet,Nutro,4,Yes,No,No,10,0,Moderate,2,81,Yes
Boxer,Medium,Female,11,74,Neutered,None,Wet food,Pedigree,1,No,No,No,13,0,None,2,82,Yes
Golden Retriever,Large,Female,12,51,Neutered,Very Active,Hard food,Royal Canin,4,No,No,No,13,1,Active,1,50,Yes
Poodle,Small,Female,12,56,None,Moderate,Wet food,Hill's Science,3,Yes,No,No,13,1,Active,0,66,No
Bulldog,Medium,Male,10,42,Spayed,None,Wet food,Blue Buffalo,5,No,Yes,Yes,12,0,Very Active,1,68.8,No
Poodle,Small,Male,8,66,Neutered,Moderate,Special diet,Wellness,3,Yes,Yes,No,9,3,Low,3,53,Yes
Dachshund,Small,Male,2,61,Neutered,Active,Wet food,Wellness,3,No,Yes,No,10,2,Active,0,66,Yes
Beagle,Small,Male,9,69,Neutered,Very Active,Hard food,Purina,3,Yes,No,No,13,1,Moderate,1,65,Yes
Australian Shepherd,Medium,Female,2,10,Neutered,Low,Wet food,Hill's Science,3,Yes,Yes,No,10,1,Active,1,55,No
Siberian Husky,Medium,Female,2,53.6,None,Moderate,Home cooked,Special,1,No,Yes,No,11,2,Moderate,1,62,Yes
German Shepherd,Large,Male,10,64,Neutered,Active,Hard food,Iams,3,No,No,No,12,1,Moderate,2,83,Yes
Beagle,Small,Female,3,56,Spayed,Very Active,Special diet,Iams,3,Yes,No,No,13,1,Moderate,2,59,Yes
Bulldog,Medium,Male,5,51,None,Moderate,Wet food,Purina,5,No,Yes,No,14,1,Low,0,57.2,No
Siberian Husky,Medium,Male,7,45,None,Very Active,Home cooked,Special,4,No,Yes,No,11,2,Very Active,0,35,Yes
Dachshund,Small,Female,11,47,None,Very Active,Wet food,Nutro,2,Yes,Yes,No,10,1,Active,3,59,No
Rottweiler,Large,Female,6.8,46,Spayed,None,Special diet,Royal Canin,1,No,No,No,12,2,Very Active,2,86,Yes
Golden Retriever,Large,Male,2,34,Spayed,Very Active,Special diet,Wellness,6,Yes,No,No,11,2,Active,0,62.4,Yes
Yorkshire Terrier,Small,Male,1,55,Spayed,Very Active,Home cooked,Special,1,Yes,No,No,12,2,Very Active,0,53,Yes
German Shepherd,Large,Male,3,30,Neutered,Moderate,Wet food,Iams,5,Yes,No,No,12,1,Active,2,55,Yes
Siberian Husky,Medium,Male,7.6,81,Spayed,Active,Home cooked,Special,4,No,No,No,11,4,Moderate,3,81,Yes
Golden Retriever,Large,Male,10,44,Neutered,Active,Home cooked,Special,2,Yes,No,No,8,3,None,2,55,Yes
Australian Shepherd,Medium,Female,5,63,None,Low,Special diet,Hill's Science,5,No,Yes,No,10,2,Active,1,54,Yes
Chihuahua,Small,Female,4,48,None,None,Hard food,Blue Buffalo,1,Yes,Yes,No,11,2,Very Active,0,61,No
Beagle,Small,Male,1,55,Neutered,Active,Home cooked,Special,0,Yes,Yes,No,12,0,Very Active,0,39,Yes
Poodle,Small,Male,13,56,None,Low,Special diet,Nutro,3,Yes,No,No,11,3,Moderate,1,60,Yes
Golden Retriever,Large,Male,10,62,Spayed,None,Special diet,Purina,3,Yes,Yes,No,11,2,Very Active,2,55,Yes
Dachshund,Small,Male,4,21,Neutered,None,Home cooked,Special,3,No,No,No,12,2,Active,2,69,Yes
Boxer,Medium,Male,4,42,Spayed,Active,Hard food,Royal Canin,2,No,Yes,No,11,0,Active,4,72,Yes
Rottweiler,Large,Female,1,79,None,None,Special diet,Nutro,3,No,No,No,9,2,None,2,70,Yes
German Shepherd,Large,Female,4,50,Neutered,Very Active,Wet food,Nutro,3,Yes,No,No,9,2,Moderate,0,47,Yes
Beagle,Small,Female,9,41,Neutered,Very Active,Hard food,Nutro,5,No,No,No,11,2,Moderate,1,50,Yes
Bulldog,Medium,Male,9,43,None,Low,Home cooked,Special,2,No,Yes,No,10,2,Active,2,55,No
Yorkshire Terrier,Small,Female,1,49.4,None,Very Active,Hard food,Hill's Science,3,Yes,Yes,No,13,0,Moderate,2,97,No
Beagle,Small,Female,8,30,None,Active,Hard food,Iams,2,No,Yes,No,9,2,Moderate,0,77,No
Boxer,Medium,Male,8,49,Spayed,Very Active,Home cooked,Special,4,No,No,No,13,0,Very Active,0,80,Yes
Boxer,Medium,Female,3,26,None,None,Special diet,Blue Buffalo,3,Yes,No,Yes,12,0,None,2,62,Yes
Poodle,Small,Female,11,43,None,None,Hard food,Blue Buffalo,1,No,Yes,No,11,3,Moderate,0,40,No
Beagle,Small,Female,1,42,Spayed,None,Home cooked,Special,3,No,No,No,12,1,Moderate,1,100,Yes
Australian Shepherd,Medium,Female,9,51,None,None,Home cooked,Special,2,No,Yes,No,10,3,Low,4,74,No
Great Dane,Large,Male,4,54,Spayed,Moderate,Home cooked,Special,3,Yes,No,No,10,0,Low,0,64,Yes
Golden Retriever,Large,Male,2,48,None,Moderate,Home cooked,Special,6,No,Yes,Yes,11,1,Low,0,54,No
Australian Shepherd,Medium,Female,1,44,None,Active,Wet food,Hill's Science,3,No,No,No,9,1,Low,4,62,Yes
Yorkshire Terrier,Small,Male,8,54,Spayed,Active,Wet food,Wellness,3,Yes,No,Yes,12,4,Very Active,2,53,Yes
Doberman,Large,Male,11,44,None,Very Active,Hard food,Iams,3,Yes,No,Yes,13,2,None,2,62,No
Labrador Retriever,Large,Male,10,41,None,None,Hard food,Blue Buffalo,3,No,Yes,No,11,2,Moderate,1,67,No
Rottweiler,Large,Female,10,65,None,Active,Hard food,Pedigree,5,Yes,No,No,12,1,Active,1,45,Yes
Boxer,Medium,Male,3,53,None,Active,Special diet,Royal Canin,5,Yes,No,No,10,1,Active,1,81,Yes
German Shepherd,Large,Male,13,61,None,Very Active,Hard food,Pedigree,0,No,Yes,No,11,1,None,1,40,No
Yorkshire Terrier,Small,Male,6,43.4,Neutered,Very Active,Hard food,Hill's Science,2,Yes,Yes,No,11,2,Low,0,79,Yes
Labrador Retriever,Large,Male,3,55,None,None,Hard food,Nutro,3,No,No,No,10,2,Moderate,2,52.6,Yes
Great Dane,Large,Female,4,66,Spayed,Low,Home cooked,Special,2,No,No,No,14,0,Low,1,75,Yes
Yorkshire Terrier,Small,Female,4,75,None,Low,Home cooked,Special,2,Yes,Yes,No,12,1,Very Active,2,43,Yes
Australian Shepherd,Medium,Male,2,51,Neutered,Low,Wet food,Wellness,4,No,No,No,13,2,Active,3,73,Yes
Chihuahua,Small,Male,13,57,Spayed,Low,Home cooked,Special,2,No,Yes,No,13,2,Low,2,70,Yes
Siberian Husky,Medium,Male,8,53,Neutered,Active,Home cooked,Special,3,Yes,Yes,Yes,13,1,None,0,58,Yes
German Shepherd,Large,Male,10,55,Spayed,Moderate,Hard food,Blue Buffalo,7,No,No,No,10,0,Moderate,1,55,Yes
Doberman,Large,Female,5,44,None,None,Special diet,Royal Canin,3,Yes,Yes,No,11,1,Very Active,2,89,Yes
Beagle,Small,Male,13,56,Neutered,None,Wet food,Royal Canin,2,No,No,No,10,2,Low,1,45,Yes
Great Dane,Large,Male,4,64,None,None,Hard food,Hill's Science,4,Yes,Yes,No,10,3,Very Active,3,76,No
Yorkshire Terrier,Small,Male,13,35,None,Low,Home cooked,Special,2,No,No,No,14,1,Moderate,1,69,Yes
Chihuahua,Small,Male,6,58,Spayed,Low,Hard food,Purina,2,Yes,Yes,No,9,2,None,0,50,No
Australian Shepherd,Medium,Male,9,65,None,Very Active,Hard food,Blue Buffalo,2,No,No,No,10,4,Active,1,52,Yes
Doberman,Large,Male,6,47,Spayed,Very Active,Home cooked,Special,4,Yes,Yes,No,11,1,Low,4,63,Yes
Siberian Husky,Medium,Female,13,50,Spayed,Low,Wet food,Nutro,3,Yes,Yes,No,9,1,Very Active,1,52,No
Poodle,Small,Female,13,50,Neutered,Low,Home cooked,Special,1,No,No,No,9,2,Low,1,41,Yes
Australian Shepherd,Medium,Male,7,84,Spayed,Active,Home cooked,Special,2,No,No,No,9,1,None,1,72,Yes
Siberian Husky,Medium,Female,6,76,Neutered,Moderate,Wet food,Iams,1,Yes,No,No,11,1,Active,1,63,Yes
Dachshund,Small,Male,5,41,Neutered,Very Active,Wet food,Nutro,4,No,Yes,No,10,1,None,0,57,Yes
German Shepherd,Large,Female,7,44,Neutered,Low,Special diet,Wellness,2,No,No,No,12,2,Very Active,2,71,Yes
Bulldog,Medium,Male,1,69,Spayed,Low,Wet food,Purina,1,Yes,Yes,Yes,12,2,Moderate,1,67.6,No
Rottweiler,Large,Male,8,42,Neutered,Moderate,Wet food,Iams,4,No,No,No,14,1,Moderate,0,74,Yes
Chihuahua,Small,Female,9,38,Neutered,None,Special diet,Royal Canin,4,Yes,No,No,11,4,Very Active,2,46,Yes
Beagle,Small,Male,1,68,Neutered,Very Active,Home cooked,Special,0,Yes,Yes,No,14,0,Low,1,71,Yes
Poodle,Small,Male,9,38,Spayed,Very Active,Special diet,Nutro,0,No,No,No,12,2,Active,2,70,Yes
Dachshund,Small,Female,8,53,Neutered,Moderate,Hard food,Purina,2,No,Yes,No,12,0,Moderate,1,45,Yes
Doberman,Large,Female,12,55,Spayed,Very Active,Wet food,Wellness,2,No,No,No,10,2,Very Active,2,64,Yes
Boxer,Medium,Male,2,23,Spayed,Moderate,Special diet,Purina,5,No,Yes,No,10,1,Moderate,1,62,Yes
Siberian Husky,Medium,Female,4,40,Spayed,None,Wet food,Royal Canin,3,Yes,Yes,No,11,1,Active,0,69,No
Dachshund,Small,Male,6,59,None,Active,Wet food,Pedigree,2,No,Yes,No,11,0,Low,2,51,Yes
Beagle,Small,Male,8,91,Neutered,Very Active,Wet food,Royal Canin,3,No,No,No,11,1,Very Active,2,62,Yes
German Shepherd,Large,Male,12,57,Spayed,Low,Special diet,Purina,4,Yes,No,No,9,2,Moderate,0,97,Yes
Beagle,Small,Female,1,14,Neutered,Low,Wet food,Nutro,4,Yes,No,No,11,0,Very Active,3,67,No
Chihuahua,Small,Male,5,41,Spayed,Very Active,Wet food,Nutro,4,Yes,No,No,13,2,Very Active,3,64,Yes
Siberian Husky,Medium,Male,2,33,None,Moderate,Home cooked,Special,2,Yes,Yes,No,10,1,Low,4,67,Yes
Dachshund,Small,Male,5,32,Spayed,None,Wet food,Pedigree,3,Yes,Yes,No,11,0,Low,1,44,Yes
Boxer,Medium,Male,3,42,None,Active,Wet food,Pedigree,3,Yes,No,No,11,1,Moderate,2,70,Yes
Labrador Retriever,Large,Female,6,59,Spayed,Low,Hard food,Nutro,2,No,Yes,No,8,4,Moderate,2,69,Yes
Chihuahua,Small,Female,5,49,Neutered,Active,Home cooked,Special,2,No,No,No,11,1,Very Active,2,57,Yes
Rottweiler,Large,Male,6.8,86,Neutered,Low,Wet food,Royal Canin,1,Yes,No,No,11,2,None,2,36,No
Siberian Husky,Medium,Male,4,58,Spayed,None,Wet food,Royal Canin,0,Yes,Yes,No,9,2,Active,2,35,Yes
Australian Shepherd,Medium,Female,2,56,Neutered,Moderate,Wet food,Hill's Science,3,No,No,No,11,0,Active,1,59,Yes
Australian Shepherd,Medium,Male,7,62,None,Moderate,Hard food,Iams,1,Yes,No,No,9,3,Very Active,0,70,No
Golden Retriever,Large,Male,9,46,Spayed,Active,Home cooked,Special,5,Yes,No,No,12,1,Moderate,2,64,Yes
Rottweiler,Large,Female,3,97,None,Active,Special diet,Blue Buffalo,2,Yes,Yes,No,10,1,None,1,63.8,Yes
Yorkshire Terrier,Small,Female,9,50,None,Low,Home cooked,Special,2,No,No,No,11,4,Active,0,70,No
Rottweiler,Large,Female,12,42,None,None,Home cooked,Special,0,No,No,No,9,2,None,2,62,Yes
Dachshund,Small,Male,6,59,None,Active,Wet food,Wellness,4,No,Yes,No,11,2,Very Active,2,39,Yes
Poodle,Small,Female,11,26,Spayed,Moderate,Wet food,Royal Canin,4,No,Yes,No,11,3,Moderate,0,60,No
Golden Retriever,Large,Male,1,56,None,Low,Hard food,Royal Canin,1,Yes,No,No,11,1,Very Active,1,55,No
Great Dane,Large,Male,11,52.6,None,None,Home cooked,Special,3,Yes,Yes,No,13,2,Active,0,54,No
Golden Retriever,Large,Female,2,54,Spayed,Low,Special diet,Nutro,2,Yes,No,No,12,0,Low,1,87,Yes
German Shepherd,Large,Female,12,44,Spayed,Moderate,Home cooked,Special,2,No,Yes,No,10,1,None,2,63,Yes
Doberman,Large,Female,4,83,None,Active,Home cooked,Special,6,No,No,No,11,2,Very Active,1,30,Yes
Golden Retriever,Large,Female,1,42,None,Very Active,Home cooked,Special,4,Yes,Yes,No,10,1,Low,2,63,Yes
Poodle,Small,Female,13,49,None,Active,Home cooked,Special,1,No,No,No,11,2,None,1,85,Yes
Great Dane,Large,Female,6,48,None,Very Active,Wet food,Blue Buffalo,2,Yes,Yes,Yes,14,2,Active,2,67,No
Australian Shepherd,Medium,Female,4,70,Spayed,Low,Hard food,Purina,0,Yes,No,No,14,2,None,1,86,Yes
Poodle,Small,Male,4,51,Neutered,Very Active,Special diet,Wellness,4,No,Yes,No,11,0,Moderate,1,73,Yes
